NO,체험프로그램명,체험처명,체험처유형,체험프로그램 직업유형,체험유형,초등학교대상여부,중학교대상여부,고등학교대상여부,위도,경도,체험인원,유무료구분,유료금액,체험시간,대면비대면구분,안전도,교육기부인증기관여부,체험지역명,체험진행장소
739,내 꿈을 향한 스윙! 스내그골프!,바이스앤,개인사업장,직업 운동선수,직업실무체험형,Y,,,37.48187374453354,127.0438427309851,20,유료,25000.0,1.0,79001,,,서울 강남구,학교
738,퍼스널컬러 진단(민간자격증 연계),SBS아카데미미용학원 인계캠퍼스,민간기업,메이크업 아티스트 및 분장사,직업실무체험형,,Y,Y,37.2643097973442,127.033972725876,60,무료,,1.0,79001,,,경기 수원시,체험처
737,[항공안전관리학과] 항공 안전을 디자인하다: 항공안전관리학과 진로 탐색,극동대학교,학교/대학교,항공운항관리,학과체험형,,Y,Y,37.1282549251378,127.641870971257,100,무료,,2.0,79001,,62002.0,충북 음성군,체험처
736,[항공운항학과] 조종간을 잡고 미래로! 항공운항학과 전공 탐색 및 비행 체험,극동대학교,학교/대학교,항공기 조종사,학과체험형,,Y,Y,37.1282549251378,127.641870971257,100,무료,,2.0,79001,,62002.0,충북 음성군,체험처
735,AI·드론코딩으로 만나는 미래직업,드로제,민간기업,기타 컴퓨터 전문가 및 소프트웨어 전문가,직업실무체험형,Y,Y,,37.6584289395157,126.831977751081,25,유료,10000.0,2.0,79001,,,경기 고양시,학교
734,"업사이클공예가(환경공예가),조향사 /에코쥬얼리퍼퓸",공드리공작소,개인사업장,기타,현장직업체험형,Y,Y,Y,36.9490629646712,127.904045908719,30,유료,20000.0,2.0,79001,,,충북 충주시,학교
733,[캘리그라피]캘리 시계 액자 만들기,예쁜캘리&예쁜피오피,개인사업장,문리·어학 강사,현장직업체험형,Y,Y,Y,36.19554767830471,127.08957580650252,30,유료,35000.0,2.0,79001,,62001.0,충남 논산시,학교
732,[캘리그라피 LED 캘리 양초 꾸미기,예쁜캘리&예쁜피오피,개인사업장,제품 디자이너,현장직업체험형,,Y,Y,36.19092355077641,127.09659142752528,30,유료,25000.0,2.0,79001,,62001.0,충남 논산시,학교
731,[캘리그라피]프리저브드 플라워 캘리 액자,예쁜캘리&예쁜피오피,개인사업장,제품 디자이너,현장직업체험형,,Y,Y,36.19092355077641,127.09659142752528,20,유료,30000.0,2.0,79001,,62001.0,충남 논산시,학교
730,꽃으로 전하는 감정회복 전문가 플로리스트 체험,수수한꽃,민간기업,기타,현장직업체험형,Y,Y,Y,35.9105025905212,127.073672808516,28,유료,20000.0,2.0,79001,,,전북 완주군,체험처
